,match_id,match_date,home_team,away_team,home_score,away_score,team,player,pass_recipient,timestamp,period,minute,X_pass_start,Y_pass_start,X_pass_end,Y_pass_end,shot_outcome,player_id,type,X,Y,color,round_minute,penalty
12535,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Ellyes Joris Skhiri,Wahbi Khazri,2023-12-16 00:00:00.339,1,0.0,60.0,40.0,66.5,38.5,,,,,,,0,No
2428,3869685,2022-12-18,Argentina,France,3,3,France,Antoine Griezmann,Aurélien Djani Tchouaméni,2023-12-16 00:00:00.578,1,0.0,61.0,40.1,48.0,43.2,,,,,,,0,No
1160,3869321,2022-12-09,Netherlands,Argentina,2,2,Netherlands,Memphis Depay,Nathan Aké,2023-12-16 00:00:00.335,1,0.0,60.0,40.0,36.3,34.9,,,,,,,0,No
8594,3869354,2022-12-10,England,France,1,2,France,Antoine Griezmann,Aurélien Djani Tchouaméni,2023-12-16 00:00:00.502,1,0.0,61.0,40.1,45.4,41.8,,,,,,,0,No
5643,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Andrej Kramarić,Dejan Lovren,2023-12-16 00:00:00.423,1,0.0,61.0,40.1,38.0,48.1,,,,,,,0,No
9502,3869552,2022-12-14,France,Morocco,2,0,Morocco,Sofyan Amrabat,Achraf Dari,2023-12-16 00:00:00.494,1,0.0,61.0,40.1,33.9,59.0,,,,,,,0,No
10421,3869152,2022-12-04,France,Poland,3,1,France,Olivier Giroud,Aurélien Djani Tchouaméni,2023-12-16 00:00:00.350,1,0.0,60.0,40.0,47.5,41.1,,,,,,,0,No
7538,3857266,2022-11-26,France,Denmark,2,1,Denmark,Andreas Evald Cornelius,Christian Dannemann Eriksen,2023-12-16 00:00:00.129,1,0.0,61.0,40.1,59.5,39.1,,,,,,,0,No
6663,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Saudi Arabia,Saleh Khalid Al Shehri,Mohammed Kanoo,2023-12-16 00:00:00.411,1,0.0,61.0,40.1,44.8,41.9,,,,,,,0,No
11407,3857279,2022-11-22,France,Australia,4,1,France,Olivier Giroud,Aurélien Djani Tchouaméni,2023-12-16 00:00:00.628,1,0.0,60.0,40.0,47.9,38.1,,,,,,,0,No
3542,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Karol Świderski,Jakub Piotr Kiwior,2023-12-16 00:00:00.321,1,0.0,60.0,40.0,37.3,47.5,,,,,,,0,No
4703,3857289,2022-11-26,Argentina,Mexico,2,0,Mexico,José Andrés Guardado Hernández,Héctor Miguel Herrera López,2023-12-16 00:00:00.547,1,0.0,61.0,40.1,43.3,36.5,,,,,,,0,No
10422,3869152,2022-12-04,France,Poland,3,1,France,Aurélien Djani Tchouaméni,Jules Koundé,2023-12-16 00:00:01.834,1,0.016666666666666666,48.7,42.1,41.6,65.0,,,,,,,1,No
12536,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Wahbi Khazri,Anis Ben Slimane,2023-12-16 00:00:01.910,1,0.016666666666666666,64.1,41.7,64.3,53.1,,,,,,,1,No
3543,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Jakub Piotr Kiwior,Matty Cash,2023-12-16 00:00:02.972,1,0.03333333333333333,39.9,46.5,106.8,79.8,,,,,,,1,No
7539,3857266,2022-11-26,France,Denmark,2,1,Denmark,Christian Dannemann Eriksen,Rasmus Nissen Kristensen,2023-12-16 00:00:02.279,1,0.03333333333333333,65.3,42.1,71.6,77.2,,,,,,,1,No
12537,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Anis Ben Slimane,Wajdi Kechrida,2023-12-16 00:00:02.486,1,0.03333333333333333,64.3,53.1,64.9,74.8,,,,,,,1,No
8595,3869354,2022-12-10,England,France,1,2,France,Aurélien Djani Tchouaméni,Kylian Mbappé Lottin,2023-12-16 00:00:02.788,1,0.03333333333333333,46.1,42.3,87.7,12.2,,,,,,,1,No
2429,3869685,2022-12-18,Argentina,France,3,3,France,Aurélien Djani Tchouaméni,Olivier Giroud,2023-12-16 00:00:02.724,1,0.03333333333333333,49.7,43.6,96.0,1.8,,,,,,,1,No
11408,3857279,2022-11-22,France,Australia,4,1,France,Aurélien Djani Tchouaméni,Adrien Rabiot,2023-12-16 00:00:02.292,1,0.03333333333333333,46.5,35.0,46.5,25.2,,,,,,,1,No
6664,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Saudi Arabia,Mohammed Kanoo,Saleh Khalid Al Shehri,2023-12-16 00:00:02.786,1,0.03333333333333333,46.6,41.9,58.5,40.6,,,,,,,1,No
6665,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Saudi Arabia,Saleh Khalid Al Shehri,Mohammed Kanoo,2023-12-16 00:00:03.872,1,0.05,57.6,41.0,47.0,41.9,,,,,,,1,No
1161,3869321,2022-12-09,Netherlands,Argentina,2,2,Netherlands,Nathan Aké,Denzel Dumfries,2023-12-16 00:00:03.509,1,0.05,36.9,35.7,78.4,76.8,,,,,,,1,No
4704,3857289,2022-11-26,Argentina,Mexico,2,0,Mexico,Héctor Miguel Herrera López,Hirving Rodrigo Lozano Bahena,2023-12-16 00:00:03.438,1,0.05,43.9,39.3,120.0,57.7,,,,,,,1,No
10423,3869152,2022-12-04,France,Poland,3,1,France,Jules Koundé,Hugo Lloris,2023-12-16 00:00:04.084,1,0.06666666666666667,41.8,64.4,11.4,43.9,,,,,,,1,No
9503,3869552,2022-12-14,France,Morocco,2,0,Morocco,Achraf Dari,Yassine Bounou,2023-12-16 00:00:04.214,1,0.06666666666666667,28.7,57.0,12.2,39.9,,,,,,,1,No
11409,3857279,2022-11-22,France,Australia,4,1,France,Adrien Rabiot,Dayotchanculle Upamecano,2023-12-16 00:00:05.637,1,0.08333333333333333,46.6,23.1,34.8,20.7,,,,,,,1,No
12538,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Wajdi Kechrida,Yassine Meriah,2023-12-16 00:00:05.340,1,0.08333333333333333,65.3,74.8,50.0,69.4,,,,,,,1,No
1162,3869321,2022-12-09,Netherlands,Argentina,2,2,Netherlands,Denzel Dumfries,Cody Mathès Gakpo,2023-12-16 00:00:06.629,1,0.1,78.4,76.8,80.6,65.8,,,,,,,1,No
8596,3869354,2022-12-10,England,France,1,2,England,Jude Bellingham,Harry Maguire,2023-12-16 00:00:06.517,1,0.1,33.8,48.9,20.2,43.7,,,,,,,1,No
5644,3869519,2022-12-13,Argentina,Croatia,3,0,Argentina,Nicolás Hernán Otamendi,Alexis Mac Allister,2023-12-16 00:00:06.423,1,0.1,23.3,47.6,46.8,40.3,,,,,,,1,No
9504,3869552,2022-12-14,France,Morocco,2,0,Morocco,Yassine Bounou,Jawad El Yamiq,2023-12-16 00:00:06.744,1,0.1,12.2,40.9,19.5,6.5,,,,,,,1,No
6666,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Saudi Arabia,Mohammed Kanoo,Hassan Mohammed Al-Tambakti,2023-12-16 00:00:06.557,1,0.1,48.4,48.2,45.5,72.6,,,,,,,1,No
11410,3857279,2022-11-22,France,Australia,4,1,France,Dayotchanculle Upamecano,Aurélien Djani Tchouaméni,2023-12-16 00:00:07.588,1,0.11666666666666667,34.0,20.7,40.1,34.6,,,,,,,1,No
12539,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Yassine Meriah,Nader Ghandri,2023-12-16 00:00:07.530,1,0.11666666666666667,49.0,67.2,37.5,51.1,,,,,,,1,No
11411,3857279,2022-11-22,France,Australia,4,1,France,Aurélien Djani Tchouaméni,Benjamin Pavard,2023-12-16 00:00:09.996,1,0.15,40.8,45.1,43.6,67.4,,,,,,,1,No
5645,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Marcelo Brozović,Dejan Lovren,2023-12-16 00:00:10.043,1,0.16666666666666666,62.2,41.0,45.9,42.8,,,,,,,1,No
5646,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Dejan Lovren,Josip Juranović,2023-12-16 00:00:11.642,1,0.18333333333333332,45.5,42.8,49.5,65.5,,,,,,,1,No
6667,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Saudi Arabia,Hassan Mohammed Al-Tambakti,Salman Mohammed Al Faraj,2023-12-16 00:00:11.377,1,0.18333333333333332,52.5,72.6,87.0,73.3,,,,,,,1,No
12540,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Nader Ghandri,Montassar Omar Talbi,2023-12-16 00:00:11.162,1,0.18333333333333332,39.0,37.3,34.3,17.2,,,,,,,1,No
9505,3869552,2022-12-14,France,Morocco,2,0,Morocco,Jawad El Yamiq,Romain Saïss,2023-12-16 00:00:11.630,1,0.18333333333333332,21.4,9.8,9.4,19.0,,,,,,,1,No
11412,3857279,2022-11-22,France,Australia,4,1,France,Benjamin Pavard,Ibrahima Konaté,2023-12-16 00:00:11.450,1,0.18333333333333332,43.5,67.7,28.9,57.2,,,,,,,1,No
12541,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Montassar Omar Talbi,Ali Maâloul,2023-12-16 00:00:13.933,1,0.21666666666666667,36.7,11.0,56.0,2.9,,,,,,,1,No
7540,3857266,2022-11-26,France,Denmark,2,1,Denmark,Rasmus Nissen Kristensen,Jesper Lindstrøm,2023-12-16 00:00:14.425,1,0.23333333333333334,76.2,80.0,86.7,74.2,,,,,,,1,No
9506,3869552,2022-12-14,France,Morocco,2,0,Morocco,Romain Saïss,Yassine Bounou,2023-12-16 00:00:14.420,1,0.23333333333333334,8.7,20.1,5.8,33.1,,,,,,,1,No
10424,3869152,2022-12-04,France,Poland,3,1,France,Adrien Rabiot,Antoine Griezmann,2023-12-16 00:00:14.727,1,0.23333333333333334,72.0,32.1,82.8,48.0,,,,,,,1,No
5647,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Josip Juranović,Dejan Lovren,2023-12-16 00:00:14.742,1,0.23333333333333334,49.0,65.8,40.4,51.0,,,,,,,1,No
11413,3857279,2022-11-22,France,Australia,4,1,France,Ibrahima Konaté,Dayotchanculle Upamecano,2023-12-16 00:00:15.060,1,0.25,30.6,42.2,37.0,27.7,,,,,,,1,No
4705,3857289,2022-11-26,Argentina,Mexico,2,0,Argentina,Damián Emiliano Martínez,Nicolás Hernán Otamendi,2023-12-16 00:00:15.756,1,0.25,6.0,36.0,7.8,49.5,,,,,,,1,No
6668,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Nicolás Alejandro Tagliafico,Lautaro Javier Martínez,2023-12-16 00:00:15.251,1,0.25,34.9,4.4,48.9,8.4,,,,,,,1,No
2430,3869685,2022-12-18,Argentina,France,3,3,Argentina,Nahuel Molina Lucero,Rodrigo Javier De Paul,2023-12-16 00:00:16.423,1,0.26666666666666666,22.7,80.0,36.0,75.2,,,,,,,1,No
12542,3857275,2022-11-30,Tunisia,France,1,0,Tunisia,Ali Maâloul,Anis Ben Slimane,2023-12-16 00:00:16.536,1,0.26666666666666666,63.1,1.7,90.4,32.3,,,,,,,1,No
7541,3857266,2022-11-26,France,Denmark,2,1,Denmark,Jesper Lindstrøm,Pierre-Emile Højbjerg,2023-12-16 00:00:16.788,1,0.26666666666666666,87.5,75.9,81.5,68.2,,,,,,,1,No
6669,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Lautaro Javier Martínez,Leandro Daniel Paredes,2023-12-16 00:00:17.792,1,0.2833333333333333,45.3,5.3,34.3,9.8,,,,,,,1,No
4706,3857289,2022-11-26,Argentina,Mexico,2,0,Argentina,Nicolás Hernán Otamendi,Gonzalo Ariel Montiel,2023-12-16 00:00:17.890,1,0.2833333333333333,8.9,51.1,21.1,71.8,,,,,,,1,No
5648,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Dejan Lovren,Borna Sosa,2023-12-16 00:00:17.011,1,0.2833333333333333,41.0,50.1,50.8,10.4,,,,,,,1,No
3544,3857264,2022-11-30,Poland,Argentina,0,2,Argentina,Marcos Javier Acuña,Julián Álvarez,2023-12-16 00:00:18.655,1,0.3,22.6,0.1,34.3,5.2,,,,,,,1,No
11414,3857279,2022-11-22,France,Australia,4,1,France,Dayotchanculle Upamecano,Lucas Hernández Pi,2023-12-16 00:00:19.041,1,0.31666666666666665,47.4,26.0,70.3,1.6,,,,,,,1,No
6670,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Leandro Daniel Paredes,Nicolás Hernán Otamendi,2023-12-16 00:00:19.596,1,0.31666666666666665,33.8,10.0,19.8,10.9,,,,,,,1,No
7542,3857266,2022-11-26,France,Denmark,2,1,Denmark,Pierre-Emile Højbjerg,Joakim Mæhle,2023-12-16 00:00:19.025,1,0.31666666666666665,80.4,62.8,93.9,13.4,,,,,,,1,No
9507,3869552,2022-12-14,France,Morocco,2,0,Morocco,Yassine Bounou,Azzedine Ounahi,2023-12-16 00:00:20.248,1,0.3333333333333333,10.4,38.5,20.6,40.9,,,,,,,1,No
11415,3857279,2022-11-22,France,Australia,4,1,France,Lucas Hernández Pi,Kylian Mbappé Lottin,2023-12-16 00:00:20.514,1,0.3333333333333333,70.3,1.8,69.6,7.4,,,,,,,1,No
5649,3869519,2022-12-13,Argentina,Croatia,3,0,Croatia,Borna Sosa,Joško Gvardiol,2023-12-16 00:00:20.966,1,0.3333333333333333,51.4,9.8,38.5,15.3,,,,,,,1,No
3545,3857264,2022-11-30,Poland,Argentina,0,2,Poland,Grzegorz Krychowiak,Piotr Zieliński,2023-12-16 00:00:21.587,1,0.35,78.7,68.2,81.9,65.9,,,,,,,1,No
6671,3857300,2022-11-22,Argentina,Saudi Arabia,1,2,Argentina,Nicolás Hernán Otamendi,Cristian Gabriel Romero,2023-12-16 00:00:22.274,1,0.36666666666666664,19.1,14.1,16.9,40.9,,,,,,,1,No
